departure_airport_name,departure_airport_code,departure_city_name,departure_city_code,departure_city_longitude,departure_city_latitude,departure_country_name,departure_country_code,arrival_airport_name,arrival_airport_code,arrival_city_name,arrival_city_code,arrival_city_longitude,arrival_city_latitude,arrival_country_name,arrival_country_code,airline_name,airline_assured_name,stopover_count,stopover_city_name,stopover_city_code,stopover_city_longitude,stopover_city_latitude,stopover_airport_name,stopover_airport_code,stopover_country,distance,type
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Dyce,ABZ,Aberdeen,ABZ,-2.09,57.15,Royaume-Uni,GB,Air France,HOP!,0,,,,,,,,966,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Felix Houphouet Boigny,ABJ,Abidjan,ABJ,-4.03,5.34,Côte d'Ivoire,CI,Air France,,1,Ouagadougou,OUA,-1.51,12.35,Aéroport d' Ouagadougou,OUA,Burkina Faso,4908,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Felix Houphouet Boigny,ABJ,Abidjan,ABJ,-4.03,5.34,Côte d'Ivoire,CI,Air France,,0,,,,,,,,4908,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Felix Houphouet Boigny,ABJ,Abidjan,ABJ,-4.03,5.34,Côte d'Ivoire,CI,Air France,,1,Bamako,BKO,-8.03,12.63,Aéroport de Bamako,BKO,Mali,4908,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Abuja,ABV,Abuja,ABV,7.48,9.07,Nigéria,NG,Air France,,0,,,,,,,,4476,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Kotoka,ACC,Accra,ACC,-0.17,5.6,Ghana,GH,Air France,,0,,,,,,,,4839,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Agadir Almassira,AGA,Agadir,AGA,-9.6,30.43,Maroc,MA,Air France,,0,,,,,,,,2311,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Agadir Almassira,AGA,Agadir,AGA,-9.6,30.43,Maroc,MA,Transavia France,,0,,,,,,,,2277,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de La Garenne,AGF,Agen,AGF,0.6,44.17,France,FR,HOP!,,0,,,,,,,,525,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Campo Dell Oro,AJA,Ajaccio,AJA,8.74,41.92,France,FR,Air France,,0,,,,,,,,927,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Campo Dell Oro,AJA,Ajaccio,AJA,8.74,41.92,France,FR,Air France,,0,,,,,,,,909,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Houari Boumediene,ALG,Alger,ALG,3.04,36.75,Algérie,DZ,Air France,,0,,,,,,,,1373,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Queen Alia,AMM,Amman,AMM,35.95,31.96,Jordanie,JO,Air France,,0,,,,,,,,3384,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Amsterdam-Schiphol,AMS,Amsterdam,AMS,4.9,52.37,Pays-Bas,NL,Air France,,0,,,,,,,,399,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Amsterdam-Schiphol,AMS,Amsterdam,AMS,4.9,52.37,Pays-Bas,NL,KLM,,0,,,,,,,,399,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Amsterdam-Schiphol,AMS,Amsterdam,AMS,4.9,52.37,Pays-Bas,NL,Transavia,,0,,,,,,,,433,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Amsterdam-Schiphol,AMS,Amsterdam,AMS,4.9,52.37,Pays-Bas,NL,Transavia France,,0,,,,,,,,433,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Antananarivo,TNR,Antananarivo,TNR,47.53,-18.91,Madagascar,MG,Air France,,0,,,,,,,,8758,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Eleftherios Venizelos,ATH,Athènes,ATH,23.73,37.98,Grèce,GR,Air France,,0,,,,,,,,2111,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport International Eleftherios Venizelos,ATH,Athènes,ATH,23.73,37.98,Grèce,GR,Transavia France,,0,,,,,,,,2108,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Hartsfield-Jackson Atlanta,ATL,"Atlanta, GA",ATL,-84.43,33.75,États-Unis d'Amérique,US,Air France,,0,,,,,,,,7063,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Aurillac,AUR,Aurillac,AUR,2.42,44.9,France,FR,HOP!,,0,,,,,,,,426,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Bamako,BKO,Bamako,BKO,-8.03,12.63,Mali,ML,Air France,,0,,,,,,,,4173,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Suvarnabhumi,BKK,Bangkok,BKK,100.52,13.73,Thaïlande,TH,Air France,,0,,,,,,,,9458,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Bangui,BGF,Bangui,BGF,18.52,4.4,République centrafricaine,CF,Air France,,0,,,,,,,,5192,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Barcelona,BCN,Barcelone,BCN,2.17,41.39,Espagne et Îles Canaries,ES,Air France,,0,,,,,,,,859,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Barcelona,BCN,Barcelone,BCN,2.17,41.39,Espagne et Îles Canaries,ES,Transavia France,,0,,,,,,,,827,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Poretta,BIA,Bastia,BIA,9.49,42.7,France,FR,Air France,,0,,,,,,,,898,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Poretta,BIA,Bastia,BIA,9.49,42.7,France,FR,Air France,HOP!,0,,,,,,,,898,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Poretta,BIA,Bastia,BIA,9.49,42.7,France,FR,Air France,,0,,,,,,,,884,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Capital,PEK,Beijing,BJS,116.41,39.9,Chine,CN,Air France,,0,,,,,,,,8200,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Hindustan,BLR,Bengaluru,BLR,77.59,12.97,Inde,IN,Air France,,0,,,,,,,,7833,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Tegel,TXL,Berlin,BER,13.4,52.51,Allemagne,DE,Air France,,0,,,,,,,,853,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Beirut,BEY,Beyrouth,BEY,35.49,33.89,Liban,LB,Air France,,0,,,,,,,,3190,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Biarritz Parme,BIQ,Biarritz,BIQ,-1.52,43.47,France,FR,Air France,HOP!,0,,,,,,,,692,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Biarritz Parme,BIQ,Biarritz,BIQ,-1.52,43.47,France,FR,Air France,,0,,,,,,,,657,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Biarritz Parme,BIQ,Biarritz,BIQ,-1.52,43.47,France,FR,Air France,HOP!,0,,,,,,,,657,LineString
