departure_airport_name,departure_airport_code,arrival_airport_name,arrival_airport_code,airline_name,airline_assured_name,departure_city_name,departure_city_code,arrival_city_name,arrival_city_code,stopover_count,stopover_city_name,stopover_city_code,stopover_airport_name,stopover_airport_code,stopover_country,departure_country_name,departure_country_code,arrival_country_name,arrival_country_code,distance
Aéroport de Charles De Gaulle,CDG,Aéroport de Dyce,ABZ,Air France,HOP!,Paris,PAR,Aberdeen,ABZ,0,,,,,,France,FR,Royaume-Uni,GB,966
Aéroport de Charles De Gaulle,CDG,Aéroport de Felix Houphouet Boigny,ABJ,Air France,,Paris,PAR,Abidjan,ABJ,1,Ouagadougou,OUA),Aéroport d' Ouagadougou,,Burkina Faso,France,FR,Côte d'Ivoire,CI,4908
Aéroport de Charles De Gaulle,CDG,Aéroport de Felix Houphouet Boigny,ABJ,Air France,,Paris,PAR,Abidjan,ABJ,0,,,,,,France,FR,Côte d'Ivoire,CI,4908
Aéroport de Charles De Gaulle,CDG,Aéroport de Felix Houphouet Boigny,ABJ,Air France,,Paris,PAR,Abidjan,ABJ,1,Bamako,BKO),Aéroport de Bamako,,Mali,France,FR,Côte d'Ivoire,CI,4908
Aéroport de Charles De Gaulle,CDG,Aéroport International Abuja,ABV,Air France,,Paris,PAR,Abuja,ABV,0,,,,,,France,FR,Nigéria,NG,4476
Aéroport de Charles De Gaulle,CDG,Aéroport de Kotoka,ACC,Air France,,Paris,PAR,Accra,ACC,0,,,,,,France,FR,Ghana,GH,4839
Aéroport de Charles De Gaulle,CDG,Aéroport d' Agadir Almassira,AGA,Air France,,Paris,PAR,Agadir,AGA,0,,,,,,France,FR,Maroc,MA,2311
Aéroport de Paris-Orly,ORY,Aéroport d' Agadir Almassira,AGA,Transavia France,,Paris,PAR,Agadir,AGA,0,,,,,,France,FR,Maroc,MA,2277
Aéroport de Paris-Orly,ORY,Aéroport de La Garenne,AGF,HOP!,,Paris,PAR,Agen,AGF,0,,,,,,France,FR,France,FR,525
Aéroport de Charles De Gaulle,CDG,Aéroport de Campo Dell Oro,AJA,Air France,,Paris,PAR,Ajaccio,AJA,0,,,,,,France,FR,France,FR,927
Aéroport de Paris-Orly,ORY,Aéroport de Campo Dell Oro,AJA,Air France,,Paris,PAR,Ajaccio,AJA,0,,,,,,France,FR,France,FR,909
Aéroport de Charles De Gaulle,CDG,Aéroport d' Houari Boumediene,ALG,Air France,,Paris,PAR,Alger,ALG,0,,,,,,France,FR,Algérie,DZ,1373
Aéroport de Charles De Gaulle,CDG,Aéroport International Queen Alia,AMM,Air France,,Paris,PAR,Amman,AMM,0,,,,,,France,FR,Jordanie,JO,3384
Aéroport de Charles De Gaulle,CDG,Aéroport d' Amsterdam-Schiphol,AMS,Air France,,Paris,PAR,Amsterdam,AMS,0,,,,,,France,FR,Pays-Bas,NL,399
Aéroport de Charles De Gaulle,CDG,Aéroport d' Amsterdam-Schiphol,AMS,KLM,,Paris,PAR,Amsterdam,AMS,0,,,,,,France,FR,Pays-Bas,NL,399
Aéroport de Paris-Orly,ORY,Aéroport d' Amsterdam-Schiphol,AMS,Transavia,,Paris,PAR,Amsterdam,AMS,0,,,,,,France,FR,Pays-Bas,NL,433
Aéroport de Paris-Orly,ORY,Aéroport d' Amsterdam-Schiphol,AMS,Transavia France,,Paris,PAR,Amsterdam,AMS,0,,,,,,France,FR,Pays-Bas,NL,433
Aéroport de Charles De Gaulle,CDG,Aéroport d' Antananarivo,TNR,Air France,,Paris,PAR,Antananarivo,TNR,0,,,,,,France,FR,Madagascar,MG,8758
Aéroport de Charles De Gaulle,CDG,Aéroport International Eleftherios Venizelos,ATH,Air France,,Paris,PAR,Athènes,ATH,0,,,,,,France,FR,Grèce,GR,2111
Aéroport de Paris-Orly,ORY,Aéroport International Eleftherios Venizelos,ATH,Transavia France,,Paris,PAR,Athènes,ATH,0,,,,,,France,FR,Grèce,GR,2108
Aéroport de Charles De Gaulle,CDG,Aéroport International Hartsfield-Jackson Atlanta,ATL,Air France,,Paris,PAR,"Atlanta, GA",ATL,0,,,,,,France,FR,États-Unis d'Amérique,US,7063
Aéroport de Paris-Orly,ORY,Aéroport d' Aurillac,AUR,HOP!,,Paris,PAR,Aurillac,AUR,0,,,,,,France,FR,France,FR,426
Aéroport de Charles De Gaulle,CDG,Aéroport de Bamako,BKO,Air France,,Paris,PAR,Bamako,BKO,0,,,,,,France,FR,Mali,ML,4173
Aéroport de Charles De Gaulle,CDG,Aéroport International Suvarnabhumi,BKK,Air France,,Paris,PAR,Bangkok,BKK,0,,,,,,France,FR,Thaïlande,TH,9458
Aéroport de Charles De Gaulle,CDG,Aéroport de Bangui,BGF,Air France,,Paris,PAR,Bangui,BGF,0,,,,,,France,FR,République centrafricaine,CF,5192
Aéroport de Charles De Gaulle,CDG,Aéroport de Barcelona,BCN,Air France,,Paris,PAR,Barcelone,BCN,0,,,,,,France,FR,Espagne et Îles Canaries,ES,859
Aéroport de Paris-Orly,ORY,Aéroport de Barcelona,BCN,Transavia France,,Paris,PAR,Barcelone,BCN,0,,,,,,France,FR,Espagne et Îles Canaries,ES,827
Aéroport de Charles De Gaulle,CDG,Aéroport de Poretta,BIA,Air France,,Paris,PAR,Bastia,BIA,0,,,,,,France,FR,France,FR,898
Aéroport de Charles De Gaulle,CDG,Aéroport de Poretta,BIA,Air France,HOP!,Paris,PAR,Bastia,BIA,0,,,,,,France,FR,France,FR,898
Aéroport de Paris-Orly,ORY,Aéroport de Poretta,BIA,Air France,,Paris,PAR,Bastia,BIA,0,,,,,,France,FR,France,FR,884
Aéroport de Charles De Gaulle,CDG,Aéroport de Capital,PEK,Air France,,Paris,PAR,Beijing,BJS,0,,,,,,France,FR,Chine,CN,8200
Aéroport de Charles De Gaulle,CDG,Aéroport d' Hindustan,BLR,Air France,,Paris,PAR,Bengaluru,BLR,0,,,,,,France,FR,Inde,IN,7833
